search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i
literary comics,/works/OL25860139W,Misadventures of Wenamun,"Rolf Potts, Cedar Van Tassel",2015.0,,eng,,,13508994.0
literary comics,/works/OL37133265W,"The Scriblerus group, 1714-1735",Brian Tippett,1972.0,,eng,,,
literary comics,/works/OL18915736W,True Brit,"George Khoury, David Roach, Jon B. Cooke, Eric Nolen Weathingon",2004.0,,eng,,,943092.0
literary comics,/works/OL258831W,The Tempest (adaptation),William Shakespeare,1800.0,,"eng, ita",,,11726943.0
literary comics,/works/OL3721931W,The Comedy of Redemption,Ralph C. Wood,1988.0,,eng,,,153356.0
literary comics,/works/OL7996291M,Reading the Funnies,"Donald Phelps, Fielding (FWD) Dawson",2001.0,,eng,,,
literary comics,/works/OL31251718W,Autobiografie intermedial,"Kalina Kupczyńska, Jadwiga Kita-Huber",,,,,,
literary comics,/works/OL21187520W,Old Baggage,Lissa Evans,2018.0,,eng,,,11153462.0
literary comics,/works/OL44249074W,Impossibly Cute Boys,Karl Andersson,2024.0,,eng,,,15132824.0
literary comics,/works/OL3138833W,X-men,James Janes,1992.0,,eng,,,10769574.0
literary comics,/works/OL21275709W,Robert Seymour and Nineteenth Century Print Culture,Brian Maidment,2019.0,,eng,,,
literary comics,/works/OL25327023W,Suffering Sappho!,"Michelle Ann Abate, Karly Marie Grice, Christine N. Stamper",2021.0,,eng,,,
literary comics,/works/OL13645253W,Demanding respect,Paul Douglas Lopes,2009.0,,eng,,,9746576.0
literary comics,/works/OL21284028W,Less Than Epic Adventures of TJ and Amal,"Iron Circus Comics, E. K. Weaver",2015.0,,eng,,,11309781.0
literary comics,/works/OL28846029W,Sacred and Profane,Justin Green,2022.0,,eng,,,
literary comics,/works/OL16014588W,Hand of fire,Charles Hatfield,2012.0,,eng,,,12664210.0
literary comics,/works/OL20059233W,The 10 cent war,"Trischa Goodnow Knapp, James J. Kimble",2016.0,,eng,,,
literary comics,/works/OL25323809W,Keeping It Unreal,Darieck Scott,2022.0,,eng,,,13852821.0
literary comics,/works/OL19722255W,The green hand and other stories,Nicole Claveloux,2017.0,,eng,,,
literary comics,/works/OL20183617W,Incorrigibles and Innocents,Lara Saguisag,2018.0,,eng,,,8831707.0
literary comics,/works/OL5849316W,Jetlag,"Etgar Keret, Batia Kolton, Actus Comics",2006.0,,eng,,,868856.0
literary comics,/works/OL7833997W,Man of two worlds,"Schwartz, Julius",2000.0,,eng,,,237125.0
literary comics,/works/OL9160978M,1000 Years of Laughter,,2002.0,,eng,,,2293907.0
literary comics,/works/OL17421556W,Rabelaiss Radical Farce Late Medieval Comic Theater And Its Function In Rabelais,E. Bruce Hayes,2010.0,,,,,7545594.0
literary comics,/works/OL21134865W,Panel to the Screen,Drew Morton,2016.0,,eng,,,
literary comics,/works/OL21677412W,Superhero Culture Wars,"Monica Flegel, Judith Leggatt",2021.0,,eng,,,
literary comics,/works/OL3738729W,The spirituality of comedy,M. Conrad Hyers,1996.0,,eng,,,4825528.0
literary comics,/works/OL15587395W,Founders of comic fandom,Bill Schelly,2010.0,,eng,,,8650853.0
literary comics,/works/OL5561546W,The Pirates of Penzance or the Slave of Duty,"Sir William Schwenck Gilbert, Sir Arthur Seymour Sullivan, W. Gilbert",1880.0,,"eng, chi",,,1638078.0
literary comics,/works/OL25761319W,Gotham City Living,Erica McCrystal,2021.0,,eng,,,
literary comics,/works/OL17321997W,Here,Richard McGuire,2014.0,,"eng, fre, spa",,,7401081.0
literary comics,/works/OL19748116W,Sense of wonder,William Schelly,2018.0,,eng,,,
literary comics,/works/OL17480576W,A Christmas Carol The Graphic Novel,"Sean Michael Wilson, Charles Dickens",2008.0,,,,,7736406.0
literary comics,/works/OL6723225W,The comments on the content and form of the comic plot in the Commentum Terenti ascribed to Donatus,Paul Grady Moorhead,1923.0,,eng,,,
literary comics,/works/OL20310630W,Drawn from the Classics,Stephen E. Tabachnick,2015.0,,eng,,,8971140.0
literary comics,/works/OL20032732W,Otto Binder,William Schelly,2016.0,,eng,,,12942434.0
literary comics,/works/OL15507163W,Blacksad,"Juan Díaz Canales, Juanjo Guarnido",2010.0,,eng,,,6671224.0
literary comics,/works/OL2925251W,An embarrassment of misprints,Max Hall,1995.0,,eng,,,776092.0
literary comics,/works/OL11639596W,Lone wolf and cub,"小池一夫, 小島剛夕, Dana Lewis",2000.0,,eng,,,8649978.0
literary comics,/works/OL19738261W,How to write an autobiographical novel,Alexander Chee,2018.0,,eng,,,9220471.0
literary comics,/works/OL17948855W,The last laugh,Ronald Wallace,1979.0,,eng,,,4436001.0
literary comics,/works/OL33788423W,Queen Of The Westerns,Dale Evans,2011.0,,,,,
literary comics,/works/OL19993443W,The graphic canon of children's literature,Russell Kick,2014.0,,eng,,,12182708.0
literary comics,/works/OL19993415W,The sculptor,Scott McCloud,2001.0,,eng,,,9323309.0
literary comics,/works/OL1835953W,New improved! Dykes to watch out for,Alison Bechdel,1990.0,,eng,,,4021959.0
literary comics,/works/OL1236789W,Essays and studies by members of the English Association,English Association.,1924.0,,eng,,,5704748.0
